left,front,right,command
18,154,11,forward
108,192,37,forward
185,162,128,forward
27,109,71,forward
21,141,196,forward
179,94,54,forward
19,177,160,forward
119,88,64,forward
171,152,52,forward
185,80,128,forward
108,171,82,forward
165,109,53,forward
62,107,135,forward
163,141,19,forward
16,170,125,forward
134,49,161,right
113,149,2,forward
66,191,141,forward
125,134,152,forward
86,166,57,forward
119,163,188,forward
66,36,188,right
106,146,24,forward
4,37,0,left
31,196,23,forward
6,11,139,back
163,62,44,forward
48,159,53,forward
123,160,169,forward
162,60,191,forward
134,142,41,forward
169,44,185,right
191,94,0,forward
93,190,15,forward
82,138,170,forward
165,116,191,forward
177,56,80,forward
62,141,35,forward
96,197,128,forward
68,129,63,forward
22,73,132,forward
117,5,153,back
121,175,184,forward
80,66,116,forward
112,94,193,forward
140,130,160,forward
114,4,59,back
150,65,88,forward
101,48,194,right
61,44,68,right
10,63,182,forward
84,8,164,back
42,67,129,forward
10,14,150,back
150,66,92,forward
19,64,136,forward
42,94,61,forward
33,91,41,forward
186,116,199,forward
82,8,193,back
134,123,91,forward
185,88,163,forward
176,52,68,forward
192,80,37,forward
175,32,131,left
101,39,139,right
1,19,77,back
177,162,142,forward
199,46,23,left
24,174,144,forward
100,42,185,right
151,158,136,forward
145,198,48,forward
18,101,122,forward
62,61,17,forward
18,7,158,back
15,185,43,forward
117,44,172,right
38,180,129,forward
39,92,42,forward
114,161,159,forward
157,84,18,forward
29,37,135,right
78,82,132,forward
188,196,128,forward
103,90,96,forward
29,157,69,forward
106,26,167,spin_right
50,156,174,forward
79,170,30,forward
23,191,20,forward
6,134,74,forward
112,40,130,right
48,47,44,left
164,166,190,forward
155,71,57,forward
182,141,71,forward
112,20,194,back
199,183,98,forward
157,90,76,forward
72,114,53,forward
153,0,46,back
156,81,158,forward
54,63,159,forward
97,120,172,forward
81,37,45,left
86,159,90,forward
27,1,157,back
86,115,44,forward
69,94,169,forward
170,70,14,forward
132,181,43,forward
113,103,150,forward
21,118,65,forward
128,183,43,forward
159,155,118,forward
189,157,49,forward
98,187,68,forward
12,67,90,forward
94,138,11,forward
12,160,94,forward
180,139,136,forward
76,191,3,forward
140,199,57,forward
95,72,59,forward
128,23,115,spin_left
140,133,165,forward
15,34,162,right
173,148,61,forward
150,37,165,right
22,102,119,forward
115,30,23,spin_left
123,99,29,forward
81,100,154,forward
35,134,102,forward
49,198,99,forward
82,120,10,forward
176,75,87,forward
41,10,83,back
38,37,25,left
178,109,141,forward
189,197,167,forward
169,92,81,forward
120,51,96,forward
120,150,160,forward
19,44,199,right
152,4,36,back
80,183,99,forward
119,28,134,spin_right
167,122,22,forward
162,14,29,back
128,94,192,forward
72,99,164,forward
3,48,123,right
8,174,131,forward
101,114,199,forward
46,161,150,forward
169,1,65,back
97,126,173,forward
84,8,2,back
52,106,98,forward
5,75,188,forward
4,122,166,forward
186,175,19,forward
63,133,7,forward
147,60,39,forward
5,125,10,forward
185,81,43,forward
165,12,175,back
74,125,151,forward
192,13,173,back
192,71,28,forward
53,40,149,right
105,41,190,right
50,3,70,back
61,3,92,back
133,91,111,forward
187,95,192,forward
60,27,50,spin_left
169,15,108,back
12,40,6,left
129,119,75,forward
177,193,37,forward
141,187,63,forward
107,114,104,forward
166,112,106,forward
166,139,55,forward
149,11,34,back
111,195,24,forward
2,190,186,forward
93,54,162,forward
154,156,95,forward
119,122,2,forward
172,116,131,forward
88,28,188,spin_right
198,68,35,forward
198,76,30,forward
12,194,139,forward
139,134,44,forward
30,132,65,forward
108,97,169,forward
154,56,7,forward
37,153,14,forward
143,133,120,forward
82,27,112,spin_right
121,142,178,forward
162,154,121,forward
147,136,146,forward
172,86,70,forward
42,75,163,forward
188,192,114,forward
91,89,127,forward
89,91,9,forward
53,82,173,forward
45,163,126,forward
110,75,119,forward
35,184,183,forward
116,146,112,forward
41,158,145,forward
108,125,77,forward
5,36,185,right
45,178,17,forward
142,37,6,left
74,2,125,back
193,163,193,forward
135,174,135,forward
54,105,54,forward
105,27,160,spin_right
105,21,6,spin_left
107,29,47,spin_left
37,27,10,spin_left
70,56,183,forward
71,147,66,forward
53,140,48,forward
156,60,169,forward
124,152,1,forward
177,190,66,forward
108,173,166,forward
59,19,27,back
95,198,31,forward
183,46,110,left
144,19,8,back
107,115,105,forward
92,68,21,forward
87,174,164,forward
180,8,27,back
141,100,111,forward
151,85,33,forward
55,125,90,forward
93,120,104,forward
4,83,74,forward
42,190,34,forward
145,195,19,forward
154,187,175,forward
107,77,51,forward
159,94,123,forward
186,181,95,forward
101,118,192,forward
69,164,154,forward
97,118,140,forward
9,95,152,forward
69,121,113,forward
182,164,165,forward
41,84,193,forward
105,72,149,forward
91,102,19,forward
28,162,10,forward
108,48,47,left
171,100,169,forward
5,28,60,spin_right
67,44,111,right
40,189,148,forward
97,9,41,back
149,168,60,forward
97,115,171,forward
0,193,48,forward
40,88,139,forward
124,56,164,forward
115,37,170,right
91,156,12,forward
49,71,171,forward
135,85,168,forward
3,93,179,forward
187,5,35,back
46,109,180,forward
65,198,75,forward
165,148,84,forward
16,120,77,forward
39,25,186,spin_right
46,103,142,forward
145,168,178,forward
56,70,119,forward
61,79,100,forward
68,1,173,back
189,54,142,forward
133,69,131,forward
14,76,33,forward
44,39,184,right
169,3,101,back
98,134,158,forward
71,120,147,forward
160,25,143,spin_left
139,166,48,forward
54,108,185,forward
25,27,117,spin_right
135,13,20,back
159,102,46,forward
179,16,123,back
142,28,129,spin_left
197,133,2,forward
149,136,93,forward
28,163,17,forward
77,172,101,forward
58,85,24,forward
143,79,169,forward
185,164,60,forward
124,58,7,forward
74,143,20,forward
52,41,136,right
145,148,169,forward
128,29,23,spin_left
126,4,90,back
162,78,24,forward
186,113,175,forward
195,170,49,forward
11,80,186,forward
97,172,87,forward
88,117,43,forward
182,45,25,left
127,18,23,back
3,135,185,forward
156,186,129,forward
24,168,158,forward
124,128,148,forward
157,15,134,back
177,191,26,forward
64,40,23,left
170,141,35,forward
93,7,12,back
146,78,70,forward
28,85,138,forward
184,188,147,forward
53,18,102,back
176,63,173,forward
107,113,110,forward
41,149,35,forward
105,139,37,forward
114,2,79,back
115,22,125,spin_right
120,191,102,forward
149,46,168,right
51,61,50,forward
172,71,197,forward
164,156,4,forward
38,20,153,back
162,160,73,forward
82,52,97,forward
47,30,42,spin_left
15,118,43,forward
90,55,160,forward
197,91,119,forward
136,64,135,forward
127,23,106,spin_left
92,188,129,forward
88,163,138,forward
25,17,124,back
127,123,80,forward
154,177,1,forward
163,27,190,spin_right
175,65,73,forward
193,137,52,forward
28,188,15,forward
179,128,53,forward
4,12,62,back
106,185,1,forward
137,88,126,forward
150,7,176,back
69,153,189,forward
56,38,82,right
46,119,170,forward
105,58,158,forward
167,0,151,back
159,184,73,forward
110,151,179,forward
199,71,21,forward
101,186,15,forward
108,34,4,left
46,2,7,back
156,90,147,forward
193,42,184,left
37,72,34,forward
145,154,164,forward
170,52,97,forward
125,67,63,forward
45,42,102,right
190,61,138,forward
70,119,53,forward
142,95,24,forward
40,145,186,forward
133,107,18,forward
154,58,191,forward
140,127,152,forward
162,4,173,back
13,91,152,forward
179,131,47,forward
117,17,155,back
146,108,4,forward
53,2,182,back
65,7,189,back
104,30,36,spin_left
140,71,152,forward
32,195,26,forward
67,8,137,back
117,28,126,spin_right
163,39,185,right
162,127,8,forward
53,135,13,forward
20,29,146,spin_right
153,84,56,forward
193,113,8,forward
10,77,105,forward
59,108,68,forward
121,158,13,forward
77,144,149,forward
149,38,193,right
77,121,36,forward
184,147,69,forward
111,79,148,forward
62,138,97,forward
97,100,56,forward
145,142,132,forward
70,181,65,forward
181,71,1,forward
163,120,190,forward
81,149,182,forward
190,8,102,back
75,161,194,forward
47,53,166,forward
20,101,58,forward
29,167,0,forward
91,15,143,back
15,89,41,forward
33,68,74,forward
122,157,83,forward
182,113,175,forward
55,2,164,back
177,192,154,forward
151,148,179,forward
78,89,22,forward
175,94,35,forward
76,126,192,forward
95,16,36,back
52,108,104,forward
102,12,78,back
153,29,110,spin_left
182,28,167,spin_left
65,41,65,right
137,189,125,forward
104,128,145,forward
105,173,158,forward
75,30,76,spin_right
49,2,58,back
52,168,101,forward
97,27,102,spin_right
140,146,167,forward
28,169,86,forward
32,155,96,forward
158,60,126,forward
179,154,153,forward
85,82,48,forward
39,10,84,back
8,86,135,forward
183,139,163,forward
174,106,39,forward
88,194,74,forward
86,76,99,forward
165,48,11,left
194,90,141,forward
190,78,145,forward
70,177,166,forward
162,112,152,forward
198,10,187,back
139,66,10,forward
12,41,183,right
161,90,71,forward
89,166,104,forward
102,72,106,forward
21,43,145,right
0,81,175,forward
189,20,49,back
197,195,48,forward
15,180,42,forward
151,33,46,left
99,171,84,forward
81,191,149,forward
138,90,179,forward
16,9,37,back
57,95,38,forward
127,112,22,forward
114,116,48,forward
183,119,89,forward
168,21,72,spin_left
58,151,18,forward
27,2,66,back
166,69,92,forward
180,73,26,forward
47,92,146,forward
185,84,178,forward
174,165,194,forward
158,99,177,forward
5,169,145,forward
2,149,80,forward
178,67,34,forward
44,191,116,forward
126,130,149,forward
155,2,142,back
119,68,50,forward
95,164,120,forward
141,180,147,forward
128,125,20,forward
148,154,71,forward
136,109,123,forward
165,137,130,forward
135,59,28,forward
22,156,195,forward
72,128,33,forward
177,136,60,forward
30,52,130,forward
158,86,98,forward
114,19,19,back
14,124,34,forward
184,26,102,spin_left
117,41,138,right
90,85,63,forward
177,153,125,forward
193,124,148,forward
33,20,182,back
70,14,178,back
138,186,163,forward
64,144,17,forward
38,160,181,forward
189,112,129,forward
39,1,64,back
95,148,197,forward
10,52,47,forward
66,182,21,forward
165,2,40,back
139,184,3,forward
46,84,165,forward
66,7,66,back
199,44,113,left
30,185,139,forward
177,117,120,forward
86,129,87,forward
153,36,144,left
32,101,130,forward
183,129,137,forward
25,189,81,forward
1,63,129,forward
190,32,175,left
50,148,141,forward
156,169,60,forward
7,15,5,back
59,190,107,forward
41,1,152,back
172,28,196,spin_right
29,166,71,forward
190,157,80,forward
165,112,165,forward
100,32,23,left
43,38,3,left
167,101,16,forward
10,36,64,right
80,144,21,forward
108,161,134,forward
150,19,45,back
187,97,112,forward
145,87,155,forward
95,187,182,forward
75,19,132,back
58,133,194,forward
36,7,57,back
6,119,158,forward
184,148,75,forward
16,132,9,forward
192,80,158,forward
8,190,65,forward
83,143,186,forward
174,60,53,forward
162,62,155,forward
131,49,100,left
79,172,99,forward
51,79,116,forward
167,36,117,left
39,180,37,forward
0,81,147,forward
13,189,95,forward
72,17,175,back
53,21,179,spin_right
180,199,12,forward
71,177,178,forward
156,138,62,forward
159,173,41,forward
80,94,3,forward
51,117,50,forward
134,74,92,forward
199,188,64,forward
142,159,148,forward
177,35,3,left
122,185,110,forward
129,135,65,forward
123,111,175,forward
154,187,189,forward
50,190,171,forward
120,161,197,forward
36,145,69,forward
15,31,99,right
119,112,113,forward
44,8,167,back
106,11,102,back
141,77,107,forward
198,119,100,forward
199,84,168,forward
121,146,140,forward
9,134,20,forward
120,71,30,forward
191,165,29,forward
91,189,107,forward
178,44,66,left
88,162,136,forward
